what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395819480382
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395819482831
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395819489089
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395819490618
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395819494502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819497700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819502302
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395819505095
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395819520476
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395819523284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819525359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819539493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395819541146
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395819541973
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395819545530
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395819546996
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395819586732
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395819613205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819617152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819641971
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395819643219
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395819644342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819646277
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395819663109
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395819663765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395819699645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819700627
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395819705027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395819729425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820109528
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820114540
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.RepositoryView",1395820118123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820120662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820141205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820144266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820151587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820151698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820153543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820160765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820161991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820164266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820167927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820234470
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820238318
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.RepositoryView",1395820245525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820245681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820247899
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820251743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820256396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820275025
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395820275125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820277075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820363103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820364427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820376478
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.RepositoryView",1395820378121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820379580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820380776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820383571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820410863
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820413388
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.RepositoryView",1395820419845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820420004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820421643
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820424958
opened,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.ResourceHistoryView",1395820430611
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.ResourceHistoryView",1395820430706
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820432670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820436279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820439051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820445351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820483153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820488982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820499198
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395820521122
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820528629
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.ResourceHistoryView",1395820534051
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395820536630
closed,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.ResourceHistoryView",1395820536641
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.RepositoryView",1395820537986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395820539305
