what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1396586616491
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1396586616491
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1396586616491
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1396586616538
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1396586616538
started,bundle,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse",1396586616538
started,bundle,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools",1396586616554
started,bundle,org.jbpm.eclipse,5.5.0.Final,"org.jbpm.eclipse",1396586616554
os,sysinfo,,,"win32",1396586616569
arch,sysinfo,,,"x86",1396586616569
ws,sysinfo,,,"win32",1396586616569
locale,sysinfo,,,"en_US",1396586616569
processors,sysinfo,,,"8",1396586616569
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396586616569
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1396586616569
java.specification.name,sysinfo,,,"Java Platform API Specification",1396586616569
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396586616569
java.specification.version,sysinfo,,,"1.7",1396586616569
java.vendor,sysinfo,,,"Oracle Corporation",1396586616569
java.version,sysinfo,,,"1.7.0_51",1396586616569
java.vm.info,sysinfo,,,"mixed mode, sharing",1396586616569
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1396586616569
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396586616569
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396586616569
java.vm.specification.version,sysinfo,,,"1.7",1396586616569
java.vm.vendor,sysinfo,,,"Oracle Corporation",1396586616569
java.vm.version,sysinfo,,,"24.51-b03",1396586616569
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1396586616647
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1396586617396
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1396586617521
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1396586617661
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1396586617755
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1396586617771
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1396586618192
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1396586618192
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1396586618207
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1396586618644
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1396586618660
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396586622669
closed,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396586622669
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1396586628581
opened,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396586629018
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396586629034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396586690264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396586817768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396586875736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396586955532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396587069999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396587072531
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396587072943
closed,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396587072943
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1396587073176
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1396587073205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396587079399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396587251983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396587252496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396587370171
