what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898372109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395898373758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898392678
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898393258
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395898413871
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898425973
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395898429834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395898432760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898437982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898440189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395898440745
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898447264
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898447459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395898472693
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395898473142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898486331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898488181
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898489599
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395898498077
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898501424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395898509495
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395898511529
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395898514356
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395898514882
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898522472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898528746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898529738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898541821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898542903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898578876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898633290
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395898636706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898663620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898798834
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898800889
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898801192
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898801209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395898813189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395898813797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395898814304
failed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395898814679
error,log,,,"""Undo"" did not complete normally.  Please see the log for more information.",1395898814730
error,log,,,"java.lang.String cannot be cast to org.jbpm.workflow.core.DroolsAction",1395898814753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898814812
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395898814928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898816708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898817668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898819081
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395898819399
closed,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898819413
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395898822370
opened,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898830122
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898830443
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395898856958
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898862211
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395898897395
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898898737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898898930
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898902648
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395898904621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898911235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898912524
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395898920924
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395898922553
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395898923077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898932999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395898934399
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395899032569
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395899279464
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395899282410
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395899282427
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395899283752
closed,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395899283765
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395899805432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395899809555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395899818163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395899822356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395899839408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395899853419
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395899867351
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395899867491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395899867563
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395899870243
