what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395901922241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395901938985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395901941415
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395901942107
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902046202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902083690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902248328
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902250274
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902260172
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902348692
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902352025
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902415995
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902480953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902482567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395902484457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395902556870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902560161
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902563017
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902566631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902567421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395902569169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902624886
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902628514
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902644521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902651455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902664585
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902665433
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902668266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902671736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902746360
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902749380
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902874540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902875977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902877343
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902878121
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902965921
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395902976759
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395902980235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902981488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395902993273
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395903025139
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395903109466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395903118571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395903134070
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395903149477
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395903247028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395903249383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395903319177
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395903322995
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395903324689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395903325576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395903334049
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395903334753
