what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1396249483619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249485876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249493193
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396249498280
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1396249542626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249543952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249545261
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396249545892
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396249548988
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396249551424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249551448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249552966
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1396249555829
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396249597389
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1396249598770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249602106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249603438
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396249603993
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1396249880458
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1396249882661
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1396249883885
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396249889935
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396249890970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396249895825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249896150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396249899497
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396249901297
