what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895273992
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895274924
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895298346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895300096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895301480
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895303099
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1395895321474
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1395895321659
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895337491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895338850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895376266
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895378210
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895381322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895383416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895462545
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895463893
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895490347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895491840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895492436
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895493106
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895495604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895496505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895496943
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895497548
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895527270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895528582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395895560774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895561648
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895562725
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895564216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895565096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395895567595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895584192
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895585900
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895615147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895618348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895621817
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895624777
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895655530
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895658194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1395895661000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895661959
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895664640
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895668638
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895677388
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895694045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895695654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395895697596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895698749
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895700130
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895705003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895706590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895769752
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895771563
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895778293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895779063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895790841
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895792516
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395895799642
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395895812492
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395895866871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395895879124
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1395895882557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395895888036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895891294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895892851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395895893991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895894624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895894776
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395895899761
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395895900006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395895921219
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395895925769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1395895934096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1395895935873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395895937491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395895939261
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1395895939559
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1395895955893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1395895962063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395895974108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896741681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395896808850
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896813243
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395896814717
closed,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896814718
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395896815416
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395896818575
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395896821954
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395896822977
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395896839012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395896841271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395896841746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395896851213
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395896853619
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896870458
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395896873257
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896875541
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395896885922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896887331
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395896893990
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395896895253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896899919
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896902428
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395896908660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896909210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896915647
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896916344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395896920727
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395896922870
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395896930575
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896955719
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395896961069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896962996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395896966624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896967560
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896969038
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395896971270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896972666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395896973779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395896976138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896977366
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395896978640
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395896984299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395896985179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897025334
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395897026013
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395897031117
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395897034265
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395897035182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897036552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897037981
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395897038932
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395897073916
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395897112536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897114975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897154328
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395897155604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395897214104
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395897216607
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395897232626
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395897235858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897235911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897237335
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395897238290
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395897249663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897264388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897265623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897277715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897278901
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395897280926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897290610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897291742
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395897294379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897309466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395897310637
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395897335393
