what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395914714429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914729453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914730585
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395914733588
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395914740198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914742318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914759081
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395914789784
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395914800115
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395914806882
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395914808303
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395914812741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914813271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914865148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914866905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914868138
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395914870425
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395914882448
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395914883609
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395914884854
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395914886318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914886974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914894791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395914896139
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395914898346
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395914902821
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395914914127
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395914915448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395914919214
