what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826470958
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826473379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826473637
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826485241
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826488443
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826494665
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826494665
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826507652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826513333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826513407
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395826513414
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395826520751
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395826536286
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826537706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395826540925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395826554100
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826572882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826587365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826594128
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826601247
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826604777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826608069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826609383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1395826609397
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1395826609445
error,log,,,"Errors occurred during the build.",1395826609450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826609561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826611184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826618089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826623687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826628179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826631791
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1395826632529
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1395826632733
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1395826632902
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826632962
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1395826634107
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1395826634856
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1395826635116
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1395826641465
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1395826647436
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1395826647473
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1395826649667
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1395826653468
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826656944
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1395826656944
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1395826663787
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826670217
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1395826675398
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1395826675491
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395826683889
activated,perspective,org.jbpm.eclipse,5.5.0.Final,"org.jbpm.eclipse.JBPMPerspective",1395826700969
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826706503
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395826709934
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826715205
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395826719442
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826723871
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395826729469
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395826729970
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826737037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826739117
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395826744692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826744796
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395826744817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1395826744817
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1395826745255
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395826746858
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395826747207
closed,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395826747207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395826773311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827046843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827073561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827389114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827391688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827536222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827537610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827560416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395827580040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828038569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828060706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828679840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828682009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828784844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828785983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828787137
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395828787309
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1395828788058
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1395828788058
activated,perspective,org.jbpm.eclipse,,"org.jbpm.eclipse.JBPMPerspective",1395894315909
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1395894315911
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1395894316192
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1395894316194
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1395894316195
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1395894316196
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1395894316198
