what,kind,bundleId,bundleVersion,description,time
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395643725196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643726698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643731683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643736947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643736961
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1395643745305
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1395643745330
executed,command,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui.convertToHtmlCommand",1395643745352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643751571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643758084
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1395643782441
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395643785803
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1395643785841
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1395643787445
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1395643787489
started,bundle,org.jbpm.eclipse.task,5.5.0.Final,"org.jbpm.eclipse.task",1395643788660
opened,view,org.jbpm.eclipse.task,5.5.0.Final,"org.jbpm.eclipse.task.views.TaskView",1395643788973
activated,view,org.jbpm.eclipse.task,5.5.0.Final,"org.jbpm.eclipse.task.views.TaskView",1395643788997
opened,view,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.debug.AuditView",1395643792812
activated,view,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.debug.AuditView",1395643792830
opened,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.RepositoryView",1395643793927
activated,view,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools.views.RepositoryView",1395643793941
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395643794874
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1395643801696
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1395643806255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643809964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643867294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395643873908
